"No.","Time","Source","Destination","Protocol","Length","Info"
"65","0.605135000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0x244e "
"66","0.613189000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39803 [ACK] Seq=4840 Ack=1160 Win=40958 Len=0"
"67","0.623843000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"68","0.624726000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"69","0.624736000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1160 Ack=7560 Win=5918720 Len=0"
"70","0.624742000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"71","0.624746000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"72","0.624748000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1160 Ack=10280 Win=6615040 Len=0"
"73","0.624749000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"74","0.625455000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1389","Application Data"
"75","0.625463000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1160 Ack=12989 Win=7311360 Len=0"
"76","0.625470000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","845","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"77","0.625474000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","[TCP Window Update] 39803 > https [ACK] Seq=1160 Ack=12989 Win=7659520 Len=0"
"78","0.625476000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"79","0.625480000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1160 Ack=15154 Win=8007680 Len=0"
"80","0.648419000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xc385  A www.volksbank-stormarn.de"
"81","0.648551000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x2e6e  AAAA www.volksbank-stormarn.de"
"82","0.648722000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","525","Application Data"
"83","0.649139000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39804 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450888 TSecr=0 WS=128"
"84","0.649628000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39805 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450889 TSecr=0 WS=128"
"85","0.650487000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39806 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450889 TSecr=0 WS=128"
"86","0.651128000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0xc385  A 194.149.250.192"
